Original,Target,Manipulation,Description
0571.mp4/0087.mp4/0168.mp4,0011.mp4,fake_video/0011_0571_0087_0168.mp4,"Change the face after combining 4 face parts(face: 0011.mp4, eyes: 0571.mp4, nose: 0087.mp4, mouth: 0168.mp4)"
0422.mp4/0391.mp4/0542.mp4,0012.mp4,fake_video/0012_0422_0391_0542.mp4,"Change the face after combining 4 face parts(face: 0012.mp4, eyes: 0422.mp4, nose: 0391.mp4, mouth: 0542.mp4)"
0258.mp4/0342.mp4/0437.mp4,0013.mp4,fake_video/0013_0258_0342_0437.mp4,"Change the face after combining 4 face parts(face: 0013.mp4, eyes: 0258.mp4, nose: 0342.mp4, mouth: 0437.mp4)"
0125.mp4/0386.mp4/0187.mp4,0014.mp4,fake_video/0014_0125_0386_0187.mp4,"Change the face after combining 4 face parts(face: 0014.mp4, eyes: 0125.mp4, nose: 0386.mp4, mouth: 0187.mp4)"
0178.mp4/0218.mp4/0227.mp4,0015.mp4,fake_video/0015_0178_0218_0227.mp4,"Change the face after combining 4 face parts(face: 0015.mp4, eyes: 0178.mp4, nose: 0218.mp4, mouth: 0227.mp4)"
0194.mp4/0251.mp4/0411.mp4,0016.mp4,fake_video/0016_0194_0251_0411.mp4,"Change the face after combining 4 face parts(face: 0016.mp4, eyes: 0194.mp4, nose: 0251.mp4, mouth: 0411.mp4)"
0557.mp4/0427.mp4/0215.mp4,0017.mp4,fake_video/0017_0557_0427_0215.mp4,"Change the face after combining 4 face parts(face: 0017.mp4, eyes: 0557.mp4, nose: 0427.mp4, mouth: 0215.mp4)"
0481.mp4/0199.mp4/0577.mp4,0018.mp4,fake_video/0018_0481_0199_0577.mp4,"Change the face after combining 4 face parts(face: 0018.mp4, eyes: 0481.mp4, nose: 0199.mp4, mouth: 0577.mp4)"
0397.mp4/0449.mp4/0252.mp4,0019.mp4,fake_video/0019_0397_0449_0252.mp4,"Change the face after combining 4 face parts(face: 0019.mp4, eyes: 0397.mp4, nose: 0449.mp4, mouth: 0252.mp4)"
0294.mp4/0455.mp4/0109.mp4,0020.mp4,fake_video/0020_0294_0455_0109.mp4,"Change the face after combining 4 face parts(face: 0020.mp4, eyes: 0294.mp4, nose: 0455.mp4, mouth: 0109.mp4)"
0240.mp4/0331.mp4/0475.mp4,0021.mp4,fake_video/0021_0240_0331_0475.mp4,"Change the face after combining 4 face parts(face: 0021.mp4, eyes: 0240.mp4, nose: 0331.mp4, mouth: 0475.mp4)"
0052.mp4/0586.mp4/0481.mp4,0022.mp4,fake_video/0022_0052_0586_0481.mp4,"Change the face after combining 4 face parts(face: 0022.mp4, eyes: 0052.mp4, nose: 0586.mp4, mouth: 0481.mp4)"
0148.mp4/0338.mp4/0004.mp4,0023.mp4,fake_video/0023_0148_0338_0004.mp4,"Change the face after combining 4 face parts(face: 0023.mp4, eyes: 0148.mp4, nose: 0338.mp4, mouth: 0004.mp4)"
0306.mp4/0412.mp4/0402.mp4,0024.mp4,fake_video/0024_0306_0412_0402.mp4,"Change the face after combining 4 face parts(face: 0024.mp4, eyes: 0306.mp4, nose: 0412.mp4, mouth: 0402.mp4)"
0566.mp4/0540.mp4/0241.mp4,0025.mp4,fake_video/0025_0566_0540_0241.mp4,"Change the face after combining 4 face parts(face: 0025.mp4, eyes: 0566.mp4, nose: 0540.mp4, mouth: 0241.mp4)"
0090.mp4/0530.mp4/0137.mp4,0026.mp4,fake_video/0026_0090_0530_0137.mp4,"Change the face after combining 4 face parts(face: 0026.mp4, eyes: 0090.mp4, nose: 0530.mp4, mouth: 0137.mp4)"
0074.mp4/0542.mp4/0336.mp4,0027.mp4,fake_video/0027_0074_0542_0336.mp4,"Change the face after combining 4 face parts(face: 0027.mp4, eyes: 0074.mp4, nose: 0542.mp4, mouth: 0336.mp4)"
0281.mp4/0489.mp4/0366.mp4,0028.mp4,fake_video/0028_0281_0489_0366.mp4,"Change the face after combining 4 face parts(face: 0028.mp4, eyes: 0281.mp4, nose: 0489.mp4, mouth: 0366.mp4)"
0137.mp4/0208.mp4/0512.mp4,0029.mp4,fake_video/0029_0137_0208_0512.mp4,"Change the face after combining 4 face parts(face: 0029.mp4, eyes: 0137.mp4, nose: 0208.mp4, mouth: 0512.mp4)"
0014.mp4/0559.mp4/0200.mp4,0030.mp4,fake_video/0030_0014_0559_0200.mp4,"Change the face after combining 4 face parts(face: 0030.mp4, eyes: 0014.mp4, nose: 0559.mp4, mouth: 0200.mp4)"
0249.mp4/0166.mp4/0096.mp4,0031.mp4,fake_video/0031_0249_0166_0096.mp4,"Change the face after combining 4 face parts(face: 0031.mp4, eyes: 0249.mp4, nose: 0166.mp4, mouth: 0096.mp4)"
0519.mp4/0138.mp4/0211.mp4,0032.mp4,fake_video/0032_0519_0138_0211.mp4,"Change the face after combining 4 face parts(face: 0032.mp4, eyes: 0519.mp4, nose: 0138.mp4, mouth: 0211.mp4)"
0511.mp4/0356.mp4/0504.mp4,0033.mp4,fake_video/0033_0511_0356_0504.mp4,"Change the face after combining 4 face parts(face: 0033.mp4, eyes: 0511.mp4, nose: 0356.mp4, mouth: 0504.mp4)"
0357.mp4/0005.mp4/0470.mp4,0034.mp4,fake_video/0034_0357_0005_0470.mp4,"Change the face after combining 4 face parts(face: 0034.mp4, eyes: 0357.mp4, nose: 0005.mp4, mouth: 0470.mp4)"
0388.mp4/0408.mp4/0428.mp4,0035.mp4,fake_video/0035_0388_0408_0428.mp4,"Change the face after combining 4 face parts(face: 0035.mp4, eyes: 0388.mp4, nose: 0408.mp4, mouth: 0428.mp4)"
0140.mp4/0286.mp4/0353.mp4,0036.mp4,fake_video/0036_0140_0286_0353.mp4,"Change the face after combining 4 face parts(face: 0036.mp4, eyes: 0140.mp4, nose: 0286.mp4, mouth: 0353.mp4)"
0226.mp4/0255.mp4/0168.mp4,0037.mp4,fake_video/0037_0226_0255_0168.mp4,"Change the face after combining 4 face parts(face: 0037.mp4, eyes: 0226.mp4, nose: 0255.mp4, mouth: 0168.mp4)"
0568.mp4/0096.mp4/0312.mp4,0038.mp4,fake_video/0038_0568_0096_0312.mp4,"Change the face after combining 4 face parts(face: 0038.mp4, eyes: 0568.mp4, nose: 0096.mp4, mouth: 0312.mp4)"
0467.mp4/0056.mp4/0002.mp4,0039.mp4,fake_video/0039_0467_0056_0002.mp4,"Change the face after combining 4 face parts(face: 0039.mp4, eyes: 0467.mp4, nose: 0056.mp4, mouth: 0002.mp4)"
0033.mp4/0543.mp4/0412.mp4,0040.mp4,fake_video/0040_0033_0543_0412.mp4,"Change the face after combining 4 face parts(face: 0040.mp4, eyes: 0033.mp4, nose: 0543.mp4, mouth: 0412.mp4)"
0082.mp4/0579.mp4/0100.mp4,0041.mp4,fake_video/0041_0082_0579_0100.mp4,"Change the face after combining 4 face parts(face: 0041.mp4, eyes: 0082.mp4, nose: 0579.mp4, mouth: 0100.mp4)"
0395.mp4/0366.mp4/0560.mp4,0042.mp4,fake_video/0042_0395_0366_0560.mp4,"Change the face after combining 4 face parts(face: 0042.mp4, eyes: 0395.mp4, nose: 0366.mp4, mouth: 0560.mp4)"
0509.mp4/0132.mp4/0386.mp4,0043.mp4,fake_video/0043_0509_0132_0386.mp4,"Change the face after combining 4 face parts(face: 0043.mp4, eyes: 0509.mp4, nose: 0132.mp4, mouth: 0386.mp4)"
0307.mp4/0235.mp4/0319.mp4,0044.mp4,fake_video/0044_0307_0235_0319.mp4,"Change the face after combining 4 face parts(face: 0044.mp4, eyes: 0307.mp4, nose: 0235.mp4, mouth: 0319.mp4)"
0218.mp4/0338.mp4/0357.mp4,0045.mp4,fake_video/0045_0218_0338_0357.mp4,"Change the face after combining 4 face parts(face: 0045.mp4, eyes: 0218.mp4, nose: 0338.mp4, mouth: 0357.mp4)"
0066.mp4/0052.mp4/0183.mp4,0046.mp4,fake_video/0046_0066_0052_0183.mp4,"Change the face after combining 4 face parts(face: 0046.mp4, eyes: 0066.mp4, nose: 0052.mp4, mouth: 0183.mp4)"
0380.mp4/0077.mp4/0478.mp4,0047.mp4,fake_video/0047_0380_0077_0478.mp4,"Change the face after combining 4 face parts(face: 0047.mp4, eyes: 0380.mp4, nose: 0077.mp4, mouth: 0478.mp4)"
0578.mp4/0150.mp4/0554.mp4,0048.mp4,fake_video/0048_0578_0150_0554.mp4,"Change the face after combining 4 face parts(face: 0048.mp4, eyes: 0578.mp4, nose: 0150.mp4, mouth: 0554.mp4)"
0176.mp4/0573.mp4/0109.mp4,0049.mp4,fake_video/0049_0176_0573_0109.mp4,"Change the face after combining 4 face parts(face: 0049.mp4, eyes: 0176.mp4, nose: 0573.mp4, mouth: 0109.mp4)"
0366.mp4/0152.mp4/0335.mp4,0050.mp4,fake_video/0050_0366_0152_0335.mp4,"Change the face after combining 4 face parts(face: 0050.mp4, eyes: 0366.mp4, nose: 0152.mp4, mouth: 0335.mp4)"
0466.mp4/0237.mp4/0571.mp4,0051.mp4,fake_video/0051_0466_0237_0571.mp4,"Change the face after combining 4 face parts(face: 0051.mp4, eyes: 0466.mp4, nose: 0237.mp4, mouth: 0571.mp4)"
0431.mp4/0010.mp4/0381.mp4,0052.mp4,fake_video/0052_0431_0010_0381.mp4,"Change the face after combining 4 face parts(face: 0052.mp4, eyes: 0431.mp4, nose: 0010.mp4, mouth: 0381.mp4)"
0181.mp4/0280.mp4/0320.mp4,0053.mp4,fake_video/0053_0181_0280_0320.mp4,"Change the face after combining 4 face parts(face: 0053.mp4, eyes: 0181.mp4, nose: 0280.mp4, mouth: 0320.mp4)"
0145.mp4/0499.mp4/0164.mp4,0054.mp4,fake_video/0054_0145_0499_0164.mp4,"Change the face after combining 4 face parts(face: 0054.mp4, eyes: 0145.mp4, nose: 0499.mp4, mouth: 0164.mp4)"
0539.mp4/0514.mp4/0579.mp4,0055.mp4,fake_video/0055_0539_0514_0579.mp4,"Change the face after combining 4 face parts(face: 0055.mp4, eyes: 0539.mp4, nose: 0514.mp4, mouth: 0579.mp4)"
0068.mp4/0153.mp4/0016.mp4,0056.mp4,fake_video/0056_0068_0153_0016.mp4,"Change the face after combining 4 face parts(face: 0056.mp4, eyes: 0068.mp4, nose: 0153.mp4, mouth: 0016.mp4)"
0375.mp4/0170.mp4/0549.mp4,0057.mp4,fake_video/0057_0375_0170_0549.mp4,"Change the face after combining 4 face parts(face: 0057.mp4, eyes: 0375.mp4, nose: 0170.mp4, mouth: 0549.mp4)"
0541.mp4/0510.mp4/0436.mp4,0058.mp4,fake_video/0058_0541_0510_0436.mp4,"Change the face after combining 4 face parts(face: 0058.mp4, eyes: 0541.mp4, nose: 0510.mp4, mouth: 0436.mp4)"
0324.mp4/0269.mp4/0450.mp4,0059.mp4,fake_video/0059_0324_0269_0450.mp4,"Change the face after combining 4 face parts(face: 0059.mp4, eyes: 0324.mp4, nose: 0269.mp4, mouth: 0450.mp4)"
0485.mp4/0445.mp4/0026.mp4,0060.mp4,fake_video/0060_0485_0445_0026.mp4,"Change the face after combining 4 face parts(face: 0060.mp4, eyes: 0485.mp4, nose: 0445.mp4, mouth: 0026.mp4)"
0582.mp4/0008.mp4/0356.mp4,0061.mp4,fake_video/0061_0582_0008_0356.mp4,"Change the face after combining 4 face parts(face: 0061.mp4, eyes: 0582.mp4, nose: 0008.mp4, mouth: 0356.mp4)"
0117.mp4/0218.mp4/0181.mp4,0062.mp4,fake_video/0062_0117_0218_0181.mp4,"Change the face after combining 4 face parts(face: 0062.mp4, eyes: 0117.mp4, nose: 0218.mp4, mouth: 0181.mp4)"
0011.mp4/0076.mp4/0203.mp4,0063.mp4,fake_video/0063_0011_0076_0203.mp4,"Change the face after combining 4 face parts(face: 0063.mp4, eyes: 0011.mp4, nose: 0076.mp4, mouth: 0203.mp4)"
0162.mp4/0134.mp4/0032.mp4,0064.mp4,fake_video/0064_0162_0134_0032.mp4,"Change the face after combining 4 face parts(face: 0064.mp4, eyes: 0162.mp4, nose: 0134.mp4, mouth: 0032.mp4)"
0231.mp4/0534.mp4/0078.mp4,0065.mp4,fake_video/0065_0231_0534_0078.mp4,"Change the face after combining 4 face parts(face: 0065.mp4, eyes: 0231.mp4, nose: 0534.mp4, mouth: 0078.mp4)"
0164.mp4/0237.mp4/0241.mp4,0066.mp4,fake_video/0066_0164_0237_0241.mp4,"Change the face after combining 4 face parts(face: 0066.mp4, eyes: 0164.mp4, nose: 0237.mp4, mouth: 0241.mp4)"
0138.mp4/0307.mp4/0052.mp4,0067.mp4,fake_video/0067_0138_0307_0052.mp4,"Change the face after combining 4 face parts(face: 0067.mp4, eyes: 0138.mp4, nose: 0307.mp4, mouth: 0052.mp4)"
0251.mp4/0377.mp4/0061.mp4,0068.mp4,fake_video/0068_0251_0377_0061.mp4,"Change the face after combining 4 face parts(face: 0068.mp4, eyes: 0251.mp4, nose: 0377.mp4, mouth: 0061.mp4)"
0155.mp4/0039.mp4/0065.mp4,0069.mp4,fake_video/0069_0155_0039_0065.mp4,"Change the face after combining 4 face parts(face: 0069.mp4, eyes: 0155.mp4, nose: 0039.mp4, mouth: 0065.mp4)"
0360.mp4/0436.mp4/0015.mp4,0070.mp4,fake_video/0070_0360_0436_0015.mp4,"Change the face after combining 4 face parts(face: 0070.mp4, eyes: 0360.mp4, nose: 0436.mp4, mouth: 0015.mp4)"
0304.mp4/0437.mp4/0084.mp4,0071.mp4,fake_video/0071_0304_0437_0084.mp4,"Change the face after combining 4 face parts(face: 0071.mp4, eyes: 0304.mp4, nose: 0437.mp4, mouth: 0084.mp4)"
0254.mp4/0241.mp4/0509.mp4,0072.mp4,fake_video/0072_0254_0241_0509.mp4,"Change the face after combining 4 face parts(face: 0072.mp4, eyes: 0254.mp4, nose: 0241.mp4, mouth: 0509.mp4)"
0184.mp4/0202.mp4/0367.mp4,0073.mp4,fake_video/0073_0184_0202_0367.mp4,"Change the face after combining 4 face parts(face: 0073.mp4, eyes: 0184.mp4, nose: 0202.mp4, mouth: 0367.mp4)"
0383.mp4/0490.mp4/0297.mp4,0074.mp4,fake_video/0074_0383_0490_0297.mp4,"Change the face after combining 4 face parts(face: 0074.mp4, eyes: 0383.mp4, nose: 0490.mp4, mouth: 0297.mp4)"
0247.mp4/0127.mp4/0370.mp4,0075.mp4,fake_video/0075_0247_0127_0370.mp4,"Change the face after combining 4 face parts(face: 0075.mp4, eyes: 0247.mp4, nose: 0127.mp4, mouth: 0370.mp4)"
0250.mp4/0244.mp4/0063.mp4,0076.mp4,fake_video/0076_0250_0244_0063.mp4,"Change the face after combining 4 face parts(face: 0076.mp4, eyes: 0250.mp4, nose: 0244.mp4, mouth: 0063.mp4)"
0027.mp4/0199.mp4/0176.mp4,0077.mp4,fake_video/0077_0027_0199_0176.mp4,"Change the face after combining 4 face parts(face: 0077.mp4, eyes: 0027.mp4, nose: 0199.mp4, mouth: 0176.mp4)"
0541.mp4/0274.mp4/0388.mp4,0078.mp4,fake_video/0078_0541_0274_0388.mp4,"Change the face after combining 4 face parts(face: 0078.mp4, eyes: 0541.mp4, nose: 0274.mp4, mouth: 0388.mp4)"
0444.mp4/0180.mp4/0134.mp4,0079.mp4,fake_video/0079_0444_0180_0134.mp4,"Change the face after combining 4 face parts(face: 0079.mp4, eyes: 0444.mp4, nose: 0180.mp4, mouth: 0134.mp4)"
0179.mp4/0075.mp4/0270.mp4,0080.mp4,fake_video/0080_0179_0075_0270.mp4,"Change the face after combining 4 face parts(face: 0080.mp4, eyes: 0179.mp4, nose: 0075.mp4, mouth: 0270.mp4)"
0183.mp4/0403.mp4/0355.mp4,0081.mp4,fake_video/0081_0183_0403_0355.mp4,"Change the face after combining 4 face parts(face: 0081.mp4, eyes: 0183.mp4, nose: 0403.mp4, mouth: 0355.mp4)"
0325.mp4/0308.mp4/0326.mp4,0082.mp4,fake_video/0082_0325_0308_0326.mp4,"Change the face after combining 4 face parts(face: 0082.mp4, eyes: 0325.mp4, nose: 0308.mp4, mouth: 0326.mp4)"
0095.mp4/0585.mp4/0272.mp4,0083.mp4,fake_video/0083_0095_0585_0272.mp4,"Change the face after combining 4 face parts(face: 0083.mp4, eyes: 0095.mp4, nose: 0585.mp4, mouth: 0272.mp4)"
0587.mp4/0329.mp4/0296.mp4,0084.mp4,fake_video/0084_0587_0329_0296.mp4,"Change the face after combining 4 face parts(face: 0084.mp4, eyes: 0587.mp4, nose: 0329.mp4, mouth: 0296.mp4)"
0324.mp4/0558.mp4/0377.mp4,0085.mp4,fake_video/0085_0324_0558_0377.mp4,"Change the face after combining 4 face parts(face: 0085.mp4, eyes: 0324.mp4, nose: 0558.mp4, mouth: 0377.mp4)"
0541.mp4/0485.mp4/0393.mp4,0086.mp4,fake_video/0086_0541_0485_0393.mp4,"Change the face after combining 4 face parts(face: 0086.mp4, eyes: 0541.mp4, nose: 0485.mp4, mouth: 0393.mp4)"
0576.mp4/0197.mp4/0323.mp4,0087.mp4,fake_video/0087_0576_0197_0323.mp4,"Change the face after combining 4 face parts(face: 0087.mp4, eyes: 0576.mp4, nose: 0197.mp4, mouth: 0323.mp4)"
0467.mp4/0426.mp4/0233.mp4,0088.mp4,fake_video/0088_0467_0426_0233.mp4,"Change the face after combining 4 face parts(face: 0088.mp4, eyes: 0467.mp4, nose: 0426.mp4, mouth: 0233.mp4)"
0573.mp4/0101.mp4/0339.mp4,0089.mp4,fake_video/0089_0573_0101_0339.mp4,"Change the face after combining 4 face parts(face: 0089.mp4, eyes: 0573.mp4, nose: 0101.mp4, mouth: 0339.mp4)"
0102.mp4/0459.mp4/0469.mp4,0090.mp4,fake_video/0090_0102_0459_0469.mp4,"Change the face after combining 4 face parts(face: 0090.mp4, eyes: 0102.mp4, nose: 0459.mp4, mouth: 0469.mp4)"
0272.mp4/0275.mp4/0534.mp4,0091.mp4,fake_video/0091_0272_0275_0534.mp4,"Change the face after combining 4 face parts(face: 0091.mp4, eyes: 0272.mp4, nose: 0275.mp4, mouth: 0534.mp4)"
0174.mp4/0007.mp4/0369.mp4,0092.mp4,fake_video/0092_0174_0007_0369.mp4,"Change the face after combining 4 face parts(face: 0092.mp4, eyes: 0174.mp4, nose: 0007.mp4, mouth: 0369.mp4)"
0095.mp4/0026.mp4/0216.mp4,0093.mp4,fake_video/0093_0095_0026_0216.mp4,"Change the face after combining 4 face parts(face: 0093.mp4, eyes: 0095.mp4, nose: 0026.mp4, mouth: 0216.mp4)"
0067.mp4/0393.mp4/0532.mp4,0094.mp4,fake_video/0094_0067_0393_0532.mp4,"Change the face after combining 4 face parts(face: 0094.mp4, eyes: 0067.mp4, nose: 0393.mp4, mouth: 0532.mp4)"
0171.mp4/0316.mp4/0387.mp4,0095.mp4,fake_video/0095_0171_0316_0387.mp4,"Change the face after combining 4 face parts(face: 0095.mp4, eyes: 0171.mp4, nose: 0316.mp4, mouth: 0387.mp4)"
0287.mp4/0070.mp4/0403.mp4,0096.mp4,fake_video/0096_0287_0070_0403.mp4,"Change the face after combining 4 face parts(face: 0096.mp4, eyes: 0287.mp4, nose: 0070.mp4, mouth: 0403.mp4)"
0478.mp4/0229.mp4/0423.mp4,0097.mp4,fake_video/0097_0478_0229_0423.mp4,"Change the face after combining 4 face parts(face: 0097.mp4, eyes: 0478.mp4, nose: 0229.mp4, mouth: 0423.mp4)"
0074.mp4/0467.mp4/0068.mp4,0098.mp4,fake_video/0098_0074_0467_0068.mp4,"Change the face after combining 4 face parts(face: 0098.mp4, eyes: 0074.mp4, nose: 0467.mp4, mouth: 0068.mp4)"
0285.mp4/0518.mp4/0014.mp4,0099.mp4,fake_video/0099_0285_0518_0014.mp4,"Change the face after combining 4 face parts(face: 0099.mp4, eyes: 0285.mp4, nose: 0518.mp4, mouth: 0014.mp4)"
0151.mp4/0018.mp4/0203.mp4,0100.mp4,fake_video/0100_0151_0018_0203.mp4,"Change the face after combining 4 face parts(face: 0100.mp4, eyes: 0151.mp4, nose: 0018.mp4, mouth: 0203.mp4)"
0180.mp4/0251.mp4/0363.mp4,0101.mp4,fake_video/0101_0180_0251_0363.mp4,"Change the face after combining 4 face parts(face: 0101.mp4, eyes: 0180.mp4, nose: 0251.mp4, mouth: 0363.mp4)"
0043.mp4/0318.mp4/0189.mp4,0102.mp4,fake_video/0102_0043_0318_0189.mp4,"Change the face after combining 4 face parts(face: 0102.mp4, eyes: 0043.mp4, nose: 0318.mp4, mouth: 0189.mp4)"
0355.mp4/0505.mp4/0418.mp4,0103.mp4,fake_video/0103_0355_0505_0418.mp4,"Change the face after combining 4 face parts(face: 0103.mp4, eyes: 0355.mp4, nose: 0505.mp4, mouth: 0418.mp4)"
0141.mp4/0181.mp4/0560.mp4,0104.mp4,fake_video/0104_0141_0181_0560.mp4,"Change the face after combining 4 face parts(face: 0104.mp4, eyes: 0141.mp4, nose: 0181.mp4, mouth: 0560.mp4)"
0027.mp4/0529.mp4/0338.mp4,0105.mp4,fake_video/0105_0027_0529_0338.mp4,"Change the face after combining 4 face parts(face: 0105.mp4, eyes: 0027.mp4, nose: 0529.mp4, mouth: 0338.mp4)"
0559.mp4/0473.mp4/0401.mp4,0106.mp4,fake_video/0106_0559_0473_0401.mp4,"Change the face after combining 4 face parts(face: 0106.mp4, eyes: 0559.mp4, nose: 0473.mp4, mouth: 0401.mp4)"
0326.mp4/0118.mp4/0451.mp4,0107.mp4,fake_video/0107_0326_0118_0451.mp4,"Change the face after combining 4 face parts(face: 0107.mp4, eyes: 0326.mp4, nose: 0118.mp4, mouth: 0451.mp4)"
0161.mp4/0184.mp4/0327.mp4,0108.mp4,fake_video/0108_0161_0184_0327.mp4,"Change the face after combining 4 face parts(face: 0108.mp4, eyes: 0161.mp4, nose: 0184.mp4, mouth: 0327.mp4)"
0162.mp4/0070.mp4/0387.mp4,0109.mp4,fake_video/0109_0162_0070_0387.mp4,"Change the face after combining 4 face parts(face: 0109.mp4, eyes: 0162.mp4, nose: 0070.mp4, mouth: 0387.mp4)"
0204.mp4/0557.mp4/0138.mp4,0110.mp4,fake_video/0110_0204_0557_0138.mp4,"Change the face after combining 4 face parts(face: 0110.mp4, eyes: 0204.mp4, nose: 0557.mp4, mouth: 0138.mp4)"
0047.mp4/0369.mp4/0073.mp4,0111.mp4,fake_video/0111_0047_0369_0073.mp4,"Change the face after combining 4 face parts(face: 0111.mp4, eyes: 0047.mp4, nose: 0369.mp4, mouth: 0073.mp4)"
0406.mp4/0524.mp4/0074.mp4,0112.mp4,fake_video/0112_0406_0524_0074.mp4,"Change the face after combining 4 face parts(face: 0112.mp4, eyes: 0406.mp4, nose: 0524.mp4, mouth: 0074.mp4)"
0013.mp4/0510.mp4/0284.mp4,0113.mp4,fake_video/0113_0013_0510_0284.mp4,"Change the face after combining 4 face parts(face: 0113.mp4, eyes: 0013.mp4, nose: 0510.mp4, mouth: 0284.mp4)"
0194.mp4/0123.mp4/0006.mp4,0114.mp4,fake_video/0114_0194_0123_0006.mp4,"Change the face after combining 4 face parts(face: 0114.mp4, eyes: 0194.mp4, nose: 0123.mp4, mouth: 0006.mp4)"
0590.mp4/0046.mp4/0279.mp4,0115.mp4,fake_video/0115_0590_0046_0279.mp4,"Change the face after combining 4 face parts(face: 0115.mp4, eyes: 0590.mp4, nose: 0046.mp4, mouth: 0279.mp4)"
0285.mp4/0361.mp4/0220.mp4,0116.mp4,fake_video/0116_0285_0361_0220.mp4,"Change the face after combining 4 face parts(face: 0116.mp4, eyes: 0285.mp4, nose: 0361.mp4, mouth: 0220.mp4)"
0260.mp4/0460.mp4/0411.mp4,0117.mp4,fake_video/0117_0260_0460_0411.mp4,"Change the face after combining 4 face parts(face: 0117.mp4, eyes: 0260.mp4, nose: 0460.mp4, mouth: 0411.mp4)"
0436.mp4/0286.mp4/0087.mp4,0118.mp4,fake_video/0118_0436_0286_0087.mp4,"Change the face after combining 4 face parts(face: 0118.mp4, eyes: 0436.mp4, nose: 0286.mp4, mouth: 0087.mp4)"
0471.mp4/0184.mp4/0031.mp4,0119.mp4,fake_video/0119_0471_0184_0031.mp4,"Change the face after combining 4 face parts(face: 0119.mp4, eyes: 0471.mp4, nose: 0184.mp4, mouth: 0031.mp4)"
0562.mp4/0356.mp4/0472.mp4,0120.mp4,fake_video/0120_0562_0356_0472.mp4,"Change the face after combining 4 face parts(face: 0120.mp4, eyes: 0562.mp4, nose: 0356.mp4, mouth: 0472.mp4)"
0069.mp4/0015.mp4/0262.mp4,0121.mp4,fake_video/0121_0069_0015_0262.mp4,"Change the face after combining 4 face parts(face: 0121.mp4, eyes: 0069.mp4, nose: 0015.mp4, mouth: 0262.mp4)"
0006.mp4/0345.mp4/0036.mp4,0122.mp4,fake_video/0122_0006_0345_0036.mp4,"Change the face after combining 4 face parts(face: 0122.mp4, eyes: 0006.mp4, nose: 0345.mp4, mouth: 0036.mp4)"
0018.mp4/0505.mp4/0191.mp4,0123.mp4,fake_video/0123_0018_0505_0191.mp4,"Change the face after combining 4 face parts(face: 0123.mp4, eyes: 0018.mp4, nose: 0505.mp4, mouth: 0191.mp4)"
0150.mp4/0257.mp4/0137.mp4,0124.mp4,fake_video/0124_0150_0257_0137.mp4,"Change the face after combining 4 face parts(face: 0124.mp4, eyes: 0150.mp4, nose: 0257.mp4, mouth: 0137.mp4)"
0458.mp4/0397.mp4/0544.mp4,0125.mp4,fake_video/0125_0458_0397_0544.mp4,"Change the face after combining 4 face parts(face: 0125.mp4, eyes: 0458.mp4, nose: 0397.mp4, mouth: 0544.mp4)"
